No.,player_id,Firstname,Surname,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
577,317,Giovani,Lo Celso,Giovani Lo Celso,18,955,1,1.525260754,1,1.196652303,15,15,5,0,M S,Tottenham,1,1.525260754,5.273323447,3.312727395,2020
578,342,Giovani,Lo Celso,Giovani Lo Celso,28,1477,0,1.379527796,2,1.707291834,18,29,6,0,M S,Tottenham,0,1.379527796,7.932056021,5.939790461,2019
579,495,Jürgen,Locadia,Jürgen Locadia,2,84,0,0.399701785,0,0,2,0,0,0,F S,Brighton,0,0.399701785,0.101700379,0.043615105,2019
580,1699,Jürgen,Locadia,Jürgen Locadia,26,1229,2,3.390607655,0,0.955769543,28,13,1,0,F M S,Brighton,2,3.390607655,4.707125396,1.795586314,2018
581,1749,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,1,65,0,0,0,0,0,0,0,0,F,Chelsea,0,0,0.019802788,0.019802788,2020
582,1750,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,7,195,0,0.544693505,1,0.523468554,4,1,0,0,F M S,Chelsea,0,0.544693505,1.619939558,0.551777503,2019
583,2446,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,24,969,6,3.240234071,2,1.010945581,28,17,0,0,M S,Chelsea,6,3.240234071,8.282618189,5.786224863,2018
584,5759,Kevin,Long,Kevin Long,8,635,0,0.610003367,0,0.017368045,2,1,2,0,D S,Burnley,0,0.610003367,0.502235908,0.502235908,2020
585,647,Kevin,Long,Kevin Long,8,560,0,0.105990048,0,0,2,0,0,0,D S,Burnley,0,0.105990048,0.850585878,0.757578969,2019
586,645,Kevin,Long,Kevin Long,6,514,0,0.030711388,1,0.406072646,1,1,0,0,D S,Burnley,0,0.030711388,0.597273991,0.191201344,2018
587,5962,Ademola,Lookman,Ademola Lookman,21,575,0,1.568968292,2,1.611437514,12,10,0,0,M S,Everton,0,1.568968292,4.338541761,2.201560244,2018
588,640,Dejan,Lovren,Dejan Lovren,10,774,0,0.204140086,1,0.301988304,5,1,1,0,D S,Liverpool,0,0.204140086,3.091093484,3.091093484,2019
589,3600,Dejan,Lovren,Dejan Lovren,13,988,1,0.910198066,0,0.108166493,6,1,1,0,D S,Liverpool,1,0.910198066,3.444809146,3.321439676,2018
590,641,Matthew,Lowton,Matthew Lowton,34,3060,1,0.759485325,1,2.77225545,21,26,5,0,D,Burnley,1,0.759485325,6.36665877,3.579442636,2020
591,643,Matthew,Lowton,Matthew Lowton,17,1530,0,0.014243403,1,1.274649853,1,11,2,0,D,Burnley,0,0.014243403,3.158141002,2.133144137,2019
592,660,Matthew,Lowton,Matthew Lowton,21,1743,0,0.829175302,0,0.49654752,4,8,7,0,D S,Burnley,0,0.829175302,3.356504031,2.306936044,2018
593,836,David,Luiz,David Luiz,20,1410,1,0.669567026,0,0.524025485,15,2,1,1,D S,Arsenal,1,0.669567026,4.749538992,4.629008282,2020
594,885,Douglas,Douglas Luiz,Douglas Luiz,33,2807,0,1.318833555,2,2.418148297,26,19,8,1,M S,Aston Villa,0,1.318833555,9.615895635,7.108103702,2020
595,971,David,Luiz,David Luiz,33,2818,2,1.560153572,1,0.797488006,23,4,5,2,D S,Arsenal,2,1.560153572,9.724225353,8.911323082,2019
596,1729,David,Luiz,David Luiz,36,3240,3,2.897742646,2,2.858749484,34,20,3,0,D,Chelsea,3,2.897742646,13.10518346,11.97844441,2018
597,5681,Douglas,Douglas Luiz,Douglas Luiz,36,2602,3,2.277795438,2,2.004114667,38,17,8,0,M S,Aston Villa,3,2.277795438,5.569815008,3.396517634,2019
598,6249,Romelu,Lukaku,Romelu Lukaku,32,2113,12,13.10517836,0,2.320214493,55,21,4,0,F S,Manchester United,12,13.10517836,15.4257045,5.426005007,2018
599,6306,Alexis,Mac Allister,Alexis Mac Allister,9,357,0,0.587467863,0,0.203351314,7,5,0,0,F M S,Brighton,0,0.587467863,1.172587945,0.500704058,2019
600,6837,James,Maddison,James Maddison,31,2123,8,3.827569867,5,5.386723921,75,50,4,0,M S,Leicester,8,3.827569867,11.7434311,6.073130352,2020
601,7198,James,Maddison,James Maddison,31,2632,6,5.021774916,3,5.768516241,74,79,4,0,M S,Leicester,6,5.021774916,14.3790017,8.763976753,2019
602,8145,James,Maddison,James Maddison,36,2877,7,7.372484354,7,7.9354384,83,100,3,1,F M S,Leicester,6,5.850146672,15.3045542,6.967955323,2018
603,8222,Harry,Maguire,Harry Maguire,34,3049,2,1.48433672,1,0.290943004,36,7,11,0,D,Manchester United,2,1.48433672,13.1270039,13.0183471,2020
